year,avg_abstract_length,min_length,max_length
1976,694.0,44,57192
1977,699.0,34,48538
1978,700.0,35,34279
1979,706.0,45,40393
1980,707.0,41,57832
1981,705.0,36,35326
1982,711.0,10,12274
1983,709.0,10,43909
1984,716.0,32,36656
1985,717.0,36,2802
1986,718.0,38,3600
1987,724.0,40,2898
1988,720.0,33,17722
1989,723.0,30,3828
1990,724.0,45,9910
1991,729.0,46,3948
1992,733.0,32,5654
1993,740.0,34,3188
1994,754.0,51,2852
1995,765.0,36,5564
1996,774.0,33,2884
1997,776.0,36,14630
1998,785.0,42,16200
1999,783.0,48,4364
2000,789.0,36,14098
2001,783.0,5,6373
2002,761.0,29,4409
2003,738.0,35,6678
2004,728.0,25,3334
2005,713.0,6,2987
2006,704.0,7,3439
2007,697.0,18,2750
2008,695.0,18,2859
2009,693.0,11,3074
2010,687.0,17,2674
2011,688.0,18,3642
2012,689.0,12,2412
2013,685.0,9,2588
2014,680.0,13,3031
2015,679.0,9,4172
2016,681.0,12,5136
2017,684.0,17,8141
2018,689.0,19,5820
2019,696.0,17,8738
2020,699.0,17,3759
2021,702.0,17,6970
2022,706.0,13,5494
2023,707.0,22,5391
2024,709.0,23,6473
2025,712.0,23,5013
