company_name,unique_inventors,total_patents,inventors_per_patent
"SAMSUNG DISPLAY CO., LTD.",74705,174536,0.43
International Business Machines Corporation,70765,164081,0.43
General Electric Company,31766,52040,0.61
"HITACHI, LTD.",29376,46073,0.64
"Microsoft Technology Licensing, LLC",27813,24834,1.12
MITSUBISHI ELECTRIC CORPORATION,26254,45738,0.57
Intel Corporation,24860,53218,0.47
Fujitsu Limited,24817,56341,0.44
TOYOTA JIDOSHA KABUSHIKI KAISHA,23800,39413,0.6
Siemens Aktiengesellschaft,23233,31018,0.75
"SUMITOMO ELECTRIC INDUSTRIES, LTD.",22155,38355,0.58
SONY GROUP CORPORATION,22014,62908,0.35
Kabushiki Kaisha Toshiba,21526,53604,0.4
"HONDA MOTOR CO., LTD.",21405,32295,0.66
Robert Bosch GmbH,20381,29525,0.69
