year,total_patents,prev_year,yoy_pct_change
1976,70941,,
1977,69820,70941.0,-1.58
1978,70586,69820.0,1.1
1979,52484,70586.0,-25.65
1980,66212,52484.0,26.16
1981,71112,66212.0,7.4
1982,63292,71112.0,-11.0
1983,62019,63292.0,-2.01
1984,72689,62019.0,17.2
1985,77276,72689.0,6.31
1986,77050,77276.0,-0.29
1987,89591,77050.0,16.28
1988,84449,89591.0,-5.74
1989,102719,84449.0,21.63
1990,99275,102719.0,-3.35
1991,106891,99275.0,7.67
1992,107540,106891.0,0.61
1993,109933,107540.0,2.23
1994,113723,109933.0,3.45
1995,113954,113723.0,0.2
1996,121811,113954.0,6.89
1997,124181,121811.0,1.95
1998,163265,124181.0,31.47
1999,169252,163265.0,3.67
2000,176192,169252.0,4.1
2001,184172,176192.0,4.53
2002,184494,184172.0,0.17
2003,187104,184494.0,1.41
2004,181413,187104.0,-3.04
2005,157829,181413.0,-13.0
2006,196489,157829.0,24.49
2007,182978,196489.0,-6.88
2008,185260,182978.0,1.25
2009,192052,185260.0,3.67
2010,244599,192052.0,27.36
2011,248101,244599.0,1.43
2012,277285,248101.0,11.76
2013,303658,277285.0,9.51
2014,327014,303658.0,7.69
2015,326969,327014.0,-0.01
2016,334674,326969.0,2.36
2017,352587,334674.0,5.35
2018,341104,352587.0,-3.26
2019,392618,341104.0,15.1
2020,390572,392618.0,-0.52
2021,363829,390572.0,-6.85
2022,360417,363829.0,-0.94
2023,350093,360417.0,-2.86
2024,373852,350093.0,6.79
2025,378741,373852.0,1.31
